age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
31;self-employed;single;tertiary;no;144;yes;no;unknown;16;may;676;1;-1;0;unknown;yes
39;technician;single;secondary;no;1104;no;no;cellular;7;aug;395;2;-1;0;unknown;yes
34;management;married;tertiary;no;443;no;no;cellular;18;jun;235;3;-1;0;unknown;yes
80;retired;divorced;primary;no;235;no;no;cellular;31;mar;577;1;223;3;other;yes
44;management;married;primary;no;4758;yes;no;cellular;22;jul;712;6;-1;0;unknown;yes
25;admin.;single;secondary;no;122;yes;no;cellular;7;may;481;2;-1;0;unknown;yes
39;admin.;married;secondary;no;260;yes;no;cellular;13;nov;226;1;94;4;success;yes
28;admin.;single;secondary;no;0;yes;yes;cellular;18;may;390;5;-1;0;unknown;yes
30;admin.;single;secondary;no;255;no;no;cellular;27;jan;143;1;-1;0;unknown;yes
30;self-employed;married;tertiary;no;2666;no;no;cellular;4;feb;467;1;-1;0;unknown;yes
55;blue-collar;married;unknown;no;890;no;no;cellular;22;aug;1329;2;-1;0;unknown;yes
60;retired;divorced;tertiary;no;4;yes;no;cellular;2;dec;415;1;190;5;failure;yes
50;management;single;tertiary;no;1200;no;no;cellular;14;aug;904;3;-1;0;unknown;yes
47;technician;married;secondary;no;1219;no;no;cellular;18;aug;697;4;-1;0;unknown;yes
24;student;single;secondary;no;1234;no;no;cellular;21;jul;314;1;156;2;success;yes
83;retired;married;primary;no;425;no;no;telephone;22;jun;883;1;140;1;failure;yes
67;retired;divorced;primary;no;2027;no;no;cellular;15;mar;161;2;-1;0;unknown;yes
49;management;divorced;tertiary;no;914;no;no;cellular;4;aug;185;1;-1;0;unknown;yes
49;services;married;secondary;no;388;no;no;telephone;31;jul;1032;4;-1;0;unknown;yes
23;technician;single;tertiary;no;1129;yes;no;unknown;28;may;806;1;-1;0;unknown;yes
29;services;single;tertiary;no;1788;no;no;cellular;27;oct;353;1;-1;0;unknown;yes
62;blue-collar;married;secondary;no;180;no;no;cellular;15;apr;389;2;-1;0;unknown;yes
55;housemaid;married;secondary;no;127;yes;no;telephone;21;jul;1130;8;-1;0;unknown;yes
38;admin.;married;secondary;no;1559;no;no;cellular;3;mar;136;2;280;1;failure;yes
47;services;married;secondary;no;1315;no;no;cellular;20;nov;329;4;-1;0;unknown;yes
55;entrepreneur;married;secondary;no;27624;no;no;telephone;3;jun;437;1;-1;0;unknown;yes
36;management;married;tertiary;no;1133;yes;no;cellular;4;aug;293;1;181;2;other;yes
18;student;single;unknown;no;108;no;no;cellular;9;feb;92;1;183;1;success;yes
35;management;single;tertiary;no;62;yes;no;cellular;20;apr;213;3;-1;0;unknown;yes
43;blue-collar;single;secondary;no;318;yes;no;unknown;5;jun;736;2;-1;0;unknown;yes
51;admin.;single;tertiary;no;394;no;no;telephone;28;jan;968;2;-1;0;unknown;yes
36;management;married;tertiary;no;630;no;no;cellular;2;feb;285;1;-1;0;unknown;yes
33;technician;single;secondary;no;163;yes;no;cellular;20;aug;627;2;-1;0;unknown;yes
28;admin.;married;secondary;no;330;no;no;cellular;2;dec;357;1;188;3;other;yes
29;management;single;tertiary;no;1377;no;no;cellular;8;apr;548;2;-1;0;unknown;yes
24;blue-collar;single;secondary;no;1857;yes;no;cellular;8;oct;147;1;92;5;other;yes
49;admin.;married;secondary;no;3608;yes;no;unknown;13;nov;231;1;-1;0;unknown;yes
30;entrepreneur;single;primary;no;0;yes;yes;unknown;27;may;1051;1;-1;0;unknown;yes
39;management;divorced;tertiary;no;517;yes;yes;unknown;14;may;1328;1;-1;0;unknown;yes
50;management;single;tertiary;no;3537;no;no;unknown;24;oct;305;1;-1;0;unknown;yes
40;management;married;secondary;no;406;yes;no;unknown;12;jun;577;2;-1;0;unknown;yes
72;retired;married;primary;no;763;no;no;cellular;24;apr;384;2;-1;0;unknown;yes
29;management;married;tertiary;no;199;yes;yes;unknown;7;may;1689;4;-1;0;unknown;yes
49;blue-collar;divorced;secondary;no;10613;no;yes;cellular;4;feb;1226;1;-1;0;unknown;yes
38;technician;married;secondary;no;976;yes;no;cellular;14;jul;766;3;-1;0;unknown;yes
47;blue-collar;married;secondary;no;1568;yes;no;cellular;21;may;226;3;91;8;success;yes
60;retired;divorced;tertiary;no;2;no;no;cellular;2;mar;228;4;390;2;other;yes
36;self-employed;married;tertiary;no;506;no;no;cellular;3;nov;217;1;70;2;failure;yes
25;blue-collar;single;secondary;no;2007;no;no;cellular;12;jan;265;2;-1;0;unknown;yes
29;admin.;divorced;secondary;no;-254;yes;no;cellular;14;may;406;2;-1;0;unknown;yes
26;student;single;tertiary;no;10086;no;no;cellular;21;apr;110;2;-1;0;unknown;yes
35;blue-collar;married;secondary;no;262;no;no;cellular;15;mar;427;1;181;3;success;yes
41;management;married;primary;no;5310;yes;no;cellular;17;nov;984;1;-1;0;unknown;yes
47;admin.;married;secondary;no;0;no;no;cellular;10;nov;213;1;190;1;other;yes
75;retired;divorced;tertiary;no;3810;yes;no;cellular;16;nov;262;1;183;1;failure;yes
35;unemployed;single;tertiary;no;415;no;no;cellular;4;may;164;2;89;2;success;yes
29;student;single;tertiary;no;5;no;no;cellular;15;jul;889;5;-1;0;unknown;yes
27;management;single;tertiary;no;6791;no;no;cellular;5;aug;179;2;69;26;other;yes
21;entrepreneur;single;tertiary;no;2077;no;no;cellular;5;aug;323;1;-1;0;unknown;yes
27;management;single;tertiary;no;151;yes;no;cellular;16;jul;496;1;-1;0;unknown;yes
47;unemployed;married;secondary;no;926;no;no;cellular;14;aug;436;1;403;5;success;yes
33;admin.;married;secondary;no;82;yes;no;cellular;25;jul;735;1;-1;0;unknown;yes
48;blue-collar;married;secondary;no;1596;yes;no;unknown;14;may;760;1;-1;0;unknown;yes
27;technician;single;secondary;no;439;yes;no;cellular;15;apr;1038;2;-1;0;unknown;yes
35;admin.;single;tertiary;no;994;no;no;cellular;30;apr;400;1;87;2;failure;yes
28;technician;single;tertiary;no;386;no;no;cellular;25;may;867;1;-1;0;unknown;yes
33;blue-collar;single;secondary;no;-416;yes;no;unknown;16;may;767;2;-1;0;unknown;yes
47;admin.;divorced;secondary;no;295;yes;no;unknown;6;jun;94;2;-1;0;unknown;yes
43;unemployed;married;tertiary;no;0;no;no;cellular;16;jul;745;1;281;1;failure;yes
42;management;married;tertiary;no;27696;no;no;cellular;12;may;176;2;89;5;success;yes
46;blue-collar;married;unknown;no;842;yes;no;telephone;8;may;833;1;-1;0;unknown;yes
64;retired;married;primary;no;2140;no;no;cellular;16;mar;881;3;155;2;failure;yes
29;technician;single;secondary;no;113;no;no;cellular;12;feb;328;2;183;4;success;yes
31;management;married;tertiary;no;2603;yes;no;cellular;11;feb;280;4;-1;0;unknown;yes
33;technician;single;tertiary;no;127;yes;no;cellular;6;apr;583;2;222;17;failure;yes
28;technician;single;secondary;no;227;no;no;cellular;30;apr;278;1;-1;0;unknown;yes
59;unemployed;married;secondary;no;1625;no;no;cellular;4;aug;198;1;180;2;success;yes
60;technician;married;secondary;no;824;yes;no;cellular;9;feb;127;1;558;7;other;yes
41;technician;married;secondary;no;4004;no;no;cellular;17;apr;314;2;-1;0;unknown;yes
64;unemployed;divorced;secondary;no;588;no;no;cellular;8;mar;409;1;-1;0;unknown;yes
53;admin.;married;secondary;no;10541;no;no;cellular;9;feb;164;2;92;1;success;yes
36;blue-collar;married;primary;no;828;no;no;cellular;13;may;1512;1;345;8;failure;yes
55;management;married;primary;no;113;no;no;cellular;12;aug;306;1;457;3;failure;yes
32;blue-collar;married;primary;no;634;no;no;cellular;29;jan;696;1;-1;0;unknown;yes
51;technician;married;secondary;no;196;yes;yes;cellular;17;feb;88;1;-1;0;unknown;yes
31;services;divorced;primary;no;459;yes;no;cellular;7;may;623;1;293;1;success;yes
32;management;single;tertiary;no;2069;no;no;cellular;22;apr;545;1;-1;0;unknown;yes
39;self-employed;married;tertiary;no;-3058;yes;yes;cellular;17;apr;882;3;-1;0;unknown;yes
44;entrepreneur;married;tertiary;no;121;no;no;cellular;10;aug;412;1;-1;0;unknown;yes
66;retired;married;secondary;no;203;no;no;cellular;18;jan;353;1;195;1;success;yes
59;technician;married;secondary;no;259;no;no;cellular;18;mar;224;1;-1;0;unknown;yes
50;blue-collar;married;primary;no;4108;yes;no;cellular;7;aug;526;2;-1;0;unknown;yes
50;technician;married;secondary;no;3654;no;no;cellular;29;oct;215;2;78;2;other;yes
28;services;single;secondary;no;168;no;no;cellular;1;jun;347;3;140;2;success;yes
44;unemployed;single;primary;yes;-4;no;yes;cellular;30;jul;788;2;-1;0;unknown;yes
30;technician;single;tertiary;no;53;no;no;cellular;29;apr;375;1;-1;0;unknown;yes
30;admin.;single;tertiary;no;0;yes;no;cellular;4;feb;730;2;-1;0;unknown;yes
83;retired;single;primary;no;1965;no;no;telephone;13;oct;1003;3;-1;0;unknown;yes
49;technician;single;secondary;no;9131;yes;no;cellular;18;aug;532;1;461;5;failure;yes
44;blue-collar;married;unknown;no;146;yes;no;unknown;15;may;483;1;-1;0;unknown;yes
40;unemployed;single;tertiary;no;72;no;no;cellular;30;apr;463;1;-1;0;unknown;yes
38;technician;married;secondary;no;205;no;no;cellular;26;may;332;1;-1;0;unknown;yes
29;unemployed;single;tertiary;no;70;no;no;cellular;25;may;393;1;-1;0;unknown;yes
43;self-employed;divorced;secondary;no;347;no;no;cellular;19;nov;1468;3;-1;0;unknown;yes
26;management;single;tertiary;no;2786;no;no;cellular;23;mar;415;1;-1;0;unknown;yes
25;student;single;secondary;no;469;no;no;cellular;21;aug;273;1;86;1;other;yes
33;admin.;married;secondary;no;95;yes;no;cellular;30;apr;335;1;-1;0;unknown;yes
34;technician;single;secondary;no;1279;yes;no;cellular;21;oct;339;3;91;10;success;yes
43;admin.;single;secondary;no;733;yes;no;cellular;21;aug;126;1;88;4;success;yes
48;services;divorced;secondary;no;-276;yes;yes;cellular;13;may;674;1;-1;0;unknown;yes
54;management;divorced;tertiary;no;487;yes;no;unknown;21;may;828;4;-1;0;unknown;yes
54;technician;married;secondary;no;3994;no;yes;cellular;20;oct;595;2;187;2;success;yes
53;management;married;tertiary;no;15;no;no;cellular;20;aug;921;2;-1;0;unknown;yes
37;services;married;secondary;no;1543;yes;no;cellular;22;may;298;1;10;6;failure;yes
28;technician;single;secondary;no;1363;no;no;cellular;27;feb;79;1;-1;0;unknown;yes
47;housemaid;single;primary;no;2785;yes;no;cellular;13;may;570;1;-1;0;unknown;yes
47;services;married;secondary;no;367;yes;no;cellular;12;may;309;1;306;4;success;yes
26;services;single;secondary;no;1347;no;no;telephone;18;jun;280;6;92;5;other;yes
30;technician;married;tertiary;no;569;no;no;cellular;27;aug;976;12;-1;0;unknown;yes
48;technician;married;secondary;yes;0;no;no;unknown;30;may;682;1;-1;0;unknown;yes
41;admin.;married;secondary;no;14968;no;no;cellular;23;jul;1360;4;-1;0;unknown;yes
49;technician;married;tertiary;no;3726;no;no;cellular;5;aug;875;2;-1;0;unknown;yes
52;blue-collar;married;secondary;no;7119;no;yes;telephone;20;nov;871;3;-1;0;unknown;yes
45;blue-collar;married;primary;no;101;yes;no;unknown;12;may;460;5;-1;0;unknown;yes
57;management;married;tertiary;no;1227;no;no;cellular;5;jun;232;1;-1;0;unknown;yes
25;unemployed;single;tertiary;no;343;no;no;cellular;1;jun;377;1;-1;0;unknown;yes
64;retired;married;secondary;no;588;no;no;cellular;16;jul;574;1;179;3;success;yes
60;blue-collar;married;primary;no;493;no;no;cellular;18;aug;671;4;-1;0;unknown;yes
41;services;married;secondary;no;471;yes;no;cellular;13;may;954;2;293;4;success;yes
31;management;single;tertiary;no;12857;yes;no;telephone;4;may;483;4;87;2;success;yes
35;management;single;tertiary;no;565;yes;no;unknown;30;may;763;1;-1;0;unknown;yes
57;retired;married;primary;no;3518;yes;no;cellular;25;aug;626;3;-1;0;unknown;yes
65;retired;married;tertiary;no;2416;no;no;cellular;17;feb;221;2;-1;0;unknown;yes
27;admin.;single;secondary;no;192;no;no;telephone;28;jul;1076;17;-1;0;unknown;yes
58;unemployed;married;secondary;no;1625;no;no;cellular;5;feb;286;2;-1;0;unknown;yes
33;technician;single;tertiary;no;109;yes;yes;cellular;25;may;601;2;10;7;failure;yes
56;admin.;married;secondary;no;602;no;no;cellular;14;jun;458;1;130;8;success;yes
57;retired;married;primary;no;9367;no;no;cellular;11;feb;981;1;90;6;success;yes
40;services;married;secondary;no;1836;yes;no;cellular;12;may;750;2;-1;0;unknown;yes
50;blue-collar;married;primary;no;82;no;no;telephone;5;apr;456;1;-1;0;unknown;yes
30;entrepreneur;single;secondary;no;732;no;no;cellular;3;feb;1404;4;-1;0;unknown;yes
35;unemployed;married;secondary;no;978;no;no;cellular;29;dec;1370;3;209;3;success;yes
44;blue-collar;married;primary;no;-101;yes;no;cellular;15;may;679;1;366;4;failure;yes
59;admin.;married;secondary;no;145;yes;no;telephone;12;may;556;2;287;13;success;yes
37;technician;married;tertiary;no;549;no;no;cellular;2;mar;239;1;-1;0;unknown;yes
41;admin.;married;secondary;no;3126;yes;no;cellular;29;jun;222;1;91;7;failure;yes
36;blue-collar;married;primary;no;403;yes;no;unknown;4;jun;920;1;-1;0;unknown;yes
47;services;married;secondary;no;367;yes;no;cellular;10;jul;476;4;-1;0;unknown;yes
53;admin.;married;secondary;no;1796;no;no;telephone;16;mar;295;1;91;2;success;yes
40;blue-collar;married;secondary;no;5060;no;no;unknown;9;nov;299;1;-1;0;unknown;yes
60;retired;divorced;tertiary;no;439;no;yes;cellular;25;may;464;1;321;1;failure;yes
29;management;single;tertiary;no;1445;no;no;cellular;4;dec;271;2;-1;0;unknown;yes
31;blue-collar;married;secondary;no;1766;no;yes;cellular;5;jun;166;2;-1;0;unknown;yes
33;management;married;tertiary;no;1323;no;no;cellular;1;jun;327;1;-1;0;unknown;yes
26;services;married;secondary;no;77;yes;no;cellular;15;may;619;1;340;4;failure;yes
35;management;married;tertiary;no;4124;yes;no;cellular;23;jul;350;2;445;7;other;yes
59;technician;married;secondary;no;116;no;no;cellular;12;aug;398;4;422;3;failure;yes
28;admin.;single;secondary;no;157;no;no;cellular;27;may;155;3;-1;0;unknown;yes
56;admin.;divorced;secondary;no;1693;no;no;cellular;26;oct;238;4;442;4;failure;yes
36;management;single;tertiary;no;479;no;no;cellular;9;feb;629;2;-1;0;unknown;yes
30;technician;single;tertiary;no;0;yes;no;cellular;5;jun;159;2;-1;0;unknown;yes
29;management;single;tertiary;no;874;yes;no;cellular;16;sep;152;1;103;1;success;yes
42;management;married;tertiary;no;2187;yes;no;cellular;17;nov;525;3;-1;0;unknown;yes
36;admin.;single;tertiary;no;994;no;no;cellular;5;feb;195;1;176;5;failure;yes
56;management;married;unknown;no;4623;no;no;cellular;17;aug;348;1;-1;0;unknown;yes
24;admin.;single;tertiary;no;-61;no;no;cellular;11;mar;95;4;-1;0;unknown;yes
33;technician;married;secondary;no;73;yes;no;cellular;2;jul;218;1;-1;0;unknown;yes
49;admin.;single;tertiary;no;228;yes;no;cellular;2;mar;368;1;-1;0;unknown;yes
45;technician;married;secondary;no;1998;no;no;cellular;4;may;237;5;-1;0;unknown;yes
32;admin.;married;secondary;no;752;yes;no;cellular;6;may;519;2;166;5;failure;yes
55;entrepreneur;divorced;secondary;no;538;yes;no;cellular;7;aug;353;2;-1;0;unknown;yes
33;management;married;tertiary;no;1778;no;no;cellular;12;feb;388;1;-1;0;unknown;yes
38;technician;divorced;tertiary;no;1805;no;no;unknown;9;jun;952;2;-1;0;unknown;yes
40;management;married;tertiary;no;3352;yes;no;cellular;19;nov;639;2;27;1;success;yes
27;student;single;tertiary;no;311;no;no;cellular;28;jul;462;1;148;4;success;yes
29;technician;single;secondary;no;1165;no;no;cellular;2;jun;245;1;-1;0;unknown;yes
52;technician;divorced;secondary;no;1005;yes;no;cellular;2;jun;195;1;-1;0;unknown;yes
32;technician;married;tertiary;no;636;yes;no;cellular;28;aug;370;1;116;4;success;yes
59;admin.;married;secondary;no;1575;yes;no;cellular;22;aug;1241;11;-1;0;unknown;yes
48;unemployed;divorced;secondary;no;201;no;no;cellular;10;feb;406;2;92;2;success;yes
36;housemaid;married;primary;no;78;yes;no;telephone;30;jul;2692;9;-1;0;unknown;yes
30;services;single;secondary;no;-158;yes;no;cellular;12;may;426;1;370;2;failure;yes
30;management;single;tertiary;no;2;yes;yes;cellular;25;jul;1031;8;-1;0;unknown;yes
34;services;single;secondary;no;-374;yes;no;cellular;11;may;672;1;-1;0;unknown;yes
49;management;married;tertiary;no;64;no;no;unknown;11;jun;586;1;-1;0;unknown;yes
35;management;single;tertiary;no;1599;yes;yes;cellular;13;apr;407;1;-1;0;unknown;yes
36;technician;married;tertiary;no;202;no;no;cellular;29;jan;313;1;120;3;failure;yes
33;management;married;tertiary;no;71;no;no;cellular;26;feb;335;3;102;2;failure;yes
53;management;divorced;secondary;no;1004;no;yes;telephone;22;dec;119;1;-1;0;unknown;yes
71;retired;married;secondary;no;1696;no;no;cellular;6;oct;486;1;-1;0;unknown;yes
55;technician;married;secondary;no;1938;no;yes;cellular;18;aug;193;1;386;3;success;yes
32;management;single;tertiary;no;2915;no;no;cellular;8;sep;519;1;131;2;failure;yes
27;technician;single;secondary;yes;0;no;yes;cellular;8;jul;732;1;-1;0;unknown;yes
30;services;single;secondary;no;-271;yes;no;cellular;7;may;609;1;337;1;success;yes
28;management;single;tertiary;yes;1414;yes;no;cellular;8;jul;294;1;521;1;failure;yes
76;housemaid;divorced;primary;no;1411;no;no;telephone;19;oct;233;2;187;3;success;yes
28;self-employed;single;secondary;no;5679;yes;no;cellular;9;feb;701;4;-1;0;unknown;yes
31;blue-collar;married;primary;no;-537;yes;yes;cellular;21;jul;1039;7;-1;0;unknown;yes
38;admin.;married;secondary;no;1767;yes;no;cellular;9;jul;483;4;239;7;success;yes
33;admin.;married;tertiary;no;79;yes;no;cellular;5;may;389;1;195;4;success;yes
32;technician;single;tertiary;no;1246;yes;no;cellular;30;apr;509;1;85;2;success;yes
29;management;single;tertiary;no;428;no;no;cellular;22;may;293;2;-1;0;unknown;yes
28;blue-collar;single;secondary;no;517;no;yes;cellular;8;jul;681;1;-1;0;unknown;yes
87;retired;divorced;primary;no;6746;no;no;telephone;21;oct;749;1;-1;0;unknown;yes
29;self-employed;single;tertiary;no;3290;no;no;cellular;12;may;430;1;50;3;success;yes
27;student;single;secondary;no;279;no;no;cellular;12;oct;323;1;-1;0;unknown;yes
49;services;married;primary;no;1830;yes;no;cellular;13;aug;261;1;179;1;success;yes
36;admin.;married;secondary;no;96;no;no;cellular;30;apr;208;1;87;1;success;yes
34;admin.;married;tertiary;no;0;no;no;cellular;30;jul;292;1;183;2;success;yes
31;management;single;tertiary;no;3384;no;no;cellular;16;sep;153;1;104;2;success;yes
28;unemployed;married;tertiary;no;482;no;no;cellular;25;may;119;1;-1;0;unknown;yes
49;blue-collar;married;secondary;no;1946;no;no;cellular;16;jul;486;1;-1;0;unknown;yes
40;blue-collar;married;secondary;no;1451;no;no;cellular;30;sep;117;1;121;1;success;yes
60;blue-collar;married;primary;no;5;no;no;cellular;29;oct;401;1;-1;0;unknown;yes
24;student;single;secondary;no;597;yes;no;cellular;20;apr;943;3;-1;0;unknown;yes
30;management;married;tertiary;no;944;no;no;cellular;29;oct;251;2;-1;0;unknown;yes
32;blue-collar;single;secondary;no;400;no;no;cellular;4;may;268;3;-1;0;unknown;yes
31;management;married;tertiary;no;131;no;no;cellular;18;feb;332;2;-1;0;unknown;yes
46;services;married;secondary;no;2948;no;no;cellular;21;nov;893;1;-1;0;unknown;yes
34;admin.;single;secondary;no;151;yes;no;cellular;12;may;590;1;370;1;other;yes
37;management;single;tertiary;no;1027;yes;no;cellular;1;oct;137;1;119;1;failure;yes
47;management;married;unknown;no;4189;yes;no;cellular;19;nov;489;3;-1;0;unknown;yes
26;services;single;tertiary;no;12;no;no;cellular;14;jun;563;1;181;10;failure;yes
46;blue-collar;married;secondary;no;640;yes;no;cellular;12;mar;215;1;182;4;success;yes
49;admin.;divorced;secondary;no;168;yes;yes;unknown;8;may;513;1;-1;0;unknown;yes
33;technician;single;secondary;no;3059;no;yes;cellular;6;aug;482;2;-1;0;unknown;yes
53;management;married;tertiary;no;1624;no;no;cellular;6;aug;107;1;98;6;success;yes
23;student;single;secondary;no;480;no;no;cellular;9;feb;742;2;182;1;failure;yes
30;blue-collar;married;secondary;no;501;yes;yes;cellular;20;nov;994;1;177;1;failure;yes
34;unemployed;married;secondary;no;978;no;no;cellular;3;jun;262;2;71;1;success;yes
31;student;single;secondary;no;1776;no;no;cellular;15;jun;220;1;207;1;other;yes
49;management;married;tertiary;no;395;no;no;cellular;10;dec;336;5;-1;0;unknown;yes
55;admin.;married;secondary;no;8304;no;no;cellular;1;sep;193;1;92;1;success;yes
25;technician;single;secondary;no;7103;yes;no;cellular;28;may;188;3;10;1;failure;yes
47;self-employed;married;tertiary;no;1011;no;no;cellular;6;oct;808;1;-1;0;unknown;yes
36;blue-collar;single;secondary;no;3623;no;no;unknown;12;nov;71;1;378;1;success;yes
36;management;single;secondary;no;1511;yes;no;cellular;16;nov;270;1;-1;0;unknown;yes
31;management;divorced;tertiary;no;414;no;yes;cellular;16;jul;241;1;-1;0;unknown;yes
42;entrepreneur;divorced;secondary;no;335;yes;no;cellular;12;may;580;1;-1;0;unknown;yes
62;retired;married;secondary;no;1495;no;no;cellular;13;oct;896;1;57;2;success;yes
44;admin.;divorced;primary;no;429;yes;no;telephone;23;oct;80;1;-1;0;unknown;yes
32;technician;single;tertiary;no;5514;no;no;cellular;22;apr;319;1;182;1;success;yes
25;blue-collar;single;secondary;no;0;no;no;cellular;23;apr;163;1;-1;0;unknown;yes
62;housemaid;married;tertiary;no;1528;no;no;cellular;15;oct;134;2;184;1;success;yes
40;blue-collar;married;secondary;no;1808;yes;no;cellular;12;may;560;1;-1;0;unknown;yes
35;blue-collar;married;secondary;no;205;yes;yes;cellular;15;may;1313;7;312;1;failure;yes
43;technician;married;tertiary;no;0;no;no;cellular;4;aug;1488;2;-1;0;unknown;yes
32;blue-collar;married;secondary;no;476;yes;no;cellular;23;jul;956;9;-1;0;unknown;yes
32;self-employed;single;tertiary;no;1249;yes;no;cellular;19;nov;472;1;-1;0;unknown;yes
31;management;single;tertiary;no;37;no;no;cellular;8;aug;669;2;-1;0;unknown;yes
57;admin.;divorced;secondary;no;658;no;no;cellular;10;jul;724;1;-1;0;unknown;yes
24;technician;single;secondary;no;403;no;no;unknown;17;jun;247;1;-1;0;unknown;yes
40;technician;divorced;tertiary;no;0;no;no;unknown;17;jun;522;1;-1;0;unknown;yes
37;housemaid;single;secondary;no;465;yes;no;cellular;18;may;899;3;-1;0;unknown;yes
31;admin.;married;secondary;no;97;yes;no;unknown;19;may;607;1;-1;0;unknown;yes
56;blue-collar;divorced;primary;no;-9;yes;yes;cellular;8;may;728;1;-1;0;unknown;yes
27;blue-collar;single;secondary;yes;-27;no;no;unknown;23;jun;498;2;-1;0;unknown;yes
38;services;married;secondary;no;4017;no;no;cellular;4;aug;470;1;96;3;success;yes
41;blue-collar;married;primary;no;219;no;yes;unknown;18;jun;1574;3;-1;0;unknown;yes
47;management;single;tertiary;no;334;yes;no;cellular;26;mar;360;1;326;8;failure;yes
27;blue-collar;single;primary;no;232;yes;no;cellular;26;oct;701;2;-1;0;unknown;yes
40;admin.;married;secondary;no;4775;no;no;cellular;15;sep;215;1;-1;0;unknown;yes
25;management;married;tertiary;no;-242;yes;yes;cellular;18;may;600;4;332;4;other;yes
27;blue-collar;single;tertiary;no;567;no;no;cellular;26;may;523;3;182;3;success;yes
52;blue-collar;married;secondary;no;1405;no;yes;cellular;17;jul;753;2;-1;0;unknown;yes
32;management;single;tertiary;no;1882;no;no;cellular;25;aug;497;5;-1;0;unknown;yes
69;retired;single;tertiary;no;2144;no;no;cellular;29;jul;417;1;184;4;success;yes
43;technician;married;secondary;no;3288;yes;no;cellular;21;nov;775;3;-1;0;unknown;yes
27;unemployed;single;primary;no;9;no;yes;cellular;9;jul;919;2;-1;0;unknown;yes
37;management;married;tertiary;no;4436;no;no;cellular;13;aug;846;5;-1;0;unknown;yes
57;retired;married;secondary;no;1044;no;no;telephone;12;jul;567;1;182;3;success;yes
32;technician;single;tertiary;no;2684;yes;no;cellular;18;may;542;2;-1;0;unknown;yes
42;management;married;primary;no;5310;yes;no;cellular;25;nov;968;2;97;4;success;yes
50;technician;divorced;secondary;no;-54;yes;yes;cellular;13;may;698;2;292;1;failure;yes
30;blue-collar;single;secondary;no;1598;yes;no;cellular;10;jul;634;1;-1;0;unknown;yes
64;management;married;unknown;no;2352;no;no;cellular;3;nov;181;4;183;7;success;yes
28;student;single;tertiary;no;5741;no;no;cellular;10;sep;1042;5;200;3;failure;yes
41;services;divorced;tertiary;no;1583;yes;no;cellular;9;jul;662;1;-1;0;unknown;yes
50;admin.;married;secondary;no;2678;no;no;telephone;30;jul;1011;6;-1;0;unknown;yes
26;management;single;tertiary;no;1646;no;no;cellular;18;sep;890;5;-1;0;unknown;yes
35;management;married;tertiary;no;802;yes;no;cellular;6;may;686;2;-1;0;unknown;yes
